# sps-list-29th-2025.tsv
# Sierra Club "Sierra Peaks & Sums" (SPS), 29th Edition, January 2025.
# Vendored, authorized local extraction. The source PDF binary is NOT
# committed (no redistribution of the copyrighted publication); its
# sha256 + provenance live in data/manifest.json. Extracted by
# scripts/vendor/extract_sps.py (one-time local tool, requires PyMuPDF).
# Format (tab-delimited); lines starting with '#' and blank lines are ignored
# by the importer:
#   @AREA <area_no> <area_name>
#   <area_no>.<seq> <name> <elevation_raw> <class_raw> <utm_or_-> <maps_or_-> <emblem> <mountaineer> <suspended>
#   emblem/mountaineer/suspended are 1 or 0.
@AREA	1	SOUTHERN SIERRA
1.1	Pilot Knob (S)	6200+	2	-	Onyx	0	0	1
1.2	Owens Peak	8453	2	-	Owens Peak	0	0	0
1.3	Spanish Needle	7841	3	096589	Lamont Peak Ninemile Canyon (E)	0	0	0
1.4	Lamont Peak	7429	2	-	Lamont Peak	0	0	0
1.5	Sawtooth Peak (S)	8000+	2	-	Ninemile Canyon Lamont Peak (W)	0	0	0
1.6	Rockhouse Peak	8360+	2	892735	Rockhouse Basin Sirretta Peak (W)	0	0	0
1.7	Taylor Dome	8802	2s3	824686	Cannell Peak	0	0	0
1.8	Sirretta Peak	9977	1	-	Sirretta Peak	0	0	0
1.9	Crag Peak	9480+	3	-	Crag Peak Long Canyon (E)	0	0	0
1.10	Smith Mtn	9533	2	-	Monache Mtn Crag Peak (S);W;SW	0	0	0
@AREA	2	MINERAL KING AND KERN RIVER
2.1	Kern Peak	11510	1	-	Kern Peak Casa Vieja Mdws (S)	0	0	0
2.2	Angora Mtn	10198	2	-	Kern Lake Hockett Peak (S)	0	0	0
2.3	Coyote Peaks	10892	2	-	Kern Lake Hockett Peak (S)	0	0	0
2.4	North Maggie Mtn	10234	1	530157	Moses Mtn Camp Wishon (S)	0	0	0
2.5	Moses Mtn	9331	3	-	Moses Mtn Camp Wishon (S)	0	0	0
2.6	Homers Nose	9023	1	441278	Silver City Case Mtn (W);SW;S	0	0	0
2.7	Vandever Mtn	11947	1	-	Mineral King	0	0	0
2.8	Florence Peak	12432	2	-	Mineral King	0	0	0
2.9	Sawtooth Peak (N)	12343	2	-	Mineral King	0	0	0
2.10	Needham Mtn	12520+	2s3	-	Mineral King	0	0	0
@AREA	3	OLANCHA TO LANGLEY AND WEST
3.1	OLANCHA PEAK	12123	2	-	Olancha Haiwee P.(S);W;SW	1	0	0
3.2	Cartago Peak	10480+	2s3	012203	Olancha	0	0	0
3.3	Muah Mtn	11016	2	-	Bartlett Cirque Peak (W)	0	0	0
3.4	Cirque Peak	12900	1	-	Cirque Peak	0	0	0
3.5	Mt Langley	14026	1	-	Mt Langley^ Cirque Peak (S)	0	0	0
3.6	Mt Guyot	12300	1	-	Mount Whitney^ Johnson Peak (S)	0	0	0
3.7	Joe Devel Peak	13327	2	-	Mount Whitney^ Johnson Peak (S)	0	0	0
3.8	Mt Pickering	13474	2	-	Mount Whitney^ Johnson Peak (S)	0	0	0
3.9	Mt Chamberlin	13169	1	-	Mount Whitney^ Johnson Peak (S)	0	0	0
3.10	Mt Newcomb	13422	2	-	Mount Whitney^ Johnson Peak (S)	0	0	0
3.11	Mt Hitchcock	13186	1	-	Mount Whitney^ Johnson Peak (S)	0	0	0
@AREA	4	CORCORAN TO WHITNEY
4.1	Mt Corcoran	13714+	2	-	Mt Langley^ Mount Whitney (W)	0	0	0
4.2	Mt LeConte	13930	3	880446	Mount Whitney^ Mt Langley^ (E)	0	1	0
4.3	Mt Mallory	13845	2	-	Mount Whitney^ Mt Langley^ (E)	0	0	0
4.4	Mt Irvine	13780+	2	-	Mount Whitney^ Mt Langley^ (E)	0	0	0
4.5	Mt McAdie	13799	3	-	Mount Whitney^ Mt Langley^ (E)	0	1	0
4.6	Mt Muir	14012	3	-	Mount Whitney^ Mt Langley^ (E)	0	0	0
